vst param #	name	min	max	display	unit	default
0	Frequency	0	1	?	Hz	0.68
4	LFO Wave	0	3	Sine|Square|Saw Down|Saw Up	-	0
5	LFO Sync	0	1	b	-	1
6	LFO Rate	0	1	?	-	1
1	LFO>Freq Amount	0	1	?	sm	0.01
7	Env Attack	0	1	?	ms	0.21
8	Env Decay	0	1	?	ms	0.21
2	Env>Freq Amount	0	1	?	sm	1
3	Env>Freq Invert	0	1	b	-	0
9	MIDI	0	1	b	-	0
10	AM	0	1	b	-	0
11	Mix	0	100	=	%	25
